Year,Iteration,Alloy Name,Aluminum,Cobalt,Chromium,Iron,Nickel,Vanadium,Manganese,Copper,Predicted Yield Strength at 298K (MPa),Computed Stacking Fault Energy,Computed Valence Electron Concentration,Computed Pugh Ratio,Yield Strength (MPa),Ultimate Tensile Strength (MPa),UTS/YS,Tension Elongation (%),Hardness (GPa),Modulus (GPa)
1,AAA,AAA01,0,45,10,20,15,10,0,0,248.205,-85.33,510,0.344570749,487,839,1.72,25.7,2.62,211
1,AAA,AAA02,0,30,10,5,45,10,0,0,244.424,-19.13,660,0.327756465,537,829,1.54,20.8,2.85,222
1,AAA,AAA03,0,30,5,30,20,15,0,0,275.692,-58.22,605,0.357284707,427,721,1.69,22.1,2.4,196
1,AAA,AAA04,0,25,10,20,40,5,0,0,173.209,1.64,695,0.339490838,383,621,1.62,19.5,2.31,191
1,AAA,AAA05,0,10,10,55,25,0,0,0,77.581,11.39,770,0.388001456,310,446,1.44,18.3,1.82,166
1,AAA,AAA06,0,35,25,5,30,5,0,0,202.043,-46.09,585,0.312140312,650,974,1.5,20.5,2.9,215
1,AAA,AAA07,0,55,10,10,15,10,0,0,254.52,-124.99,450,0.341992464,606,952,1.57,24.9,2.88,211
1,AAA,AAA08,0,10,10,25,50,5,0,0,166.382,39.67,805,0.339356232,447,660,1.48,14.2,2.15,191
1,AAA,AAA09,5,0,5,25,60,5,0,0,425.708,81.81,870,0.325248683,331,782,2.36,40.1,2.31,182
1,AAA,AAA10,0,5,15,5,70,5,0,0,171.065,79.61,865,0.323772584,376,764,2.03,28.1,2.24,205
1,AAA,AAA11,0,15,5,45,30,5,0,0,155.027,103.02,745,0.359169082,364,547,1.5,11.9,1.91,167
1,AAA,AAA12,5,15,5,5,65,5,0,0,448.275,92.67,790,0.330804226,391,622,1.59,16.7,2.47,241
1,AAA,AAA13,5,10,5,25,50,5,0,0,430.902,61.48,790,0.327282825,275,816,2.97,0,2.32,188
1,AAA,AAA14,0,25,10,5,35,25,0,0,366.08,177.3,625,0.282433832,601,1144,1.9,29.9,3.4,194
1,AAA,AAA15,5,0,5,45,45,0,0,0,372.647,176.36,855,0.314287184,253,492,1.94,23.3,1.96,147
1,AAA,AAA16,0,5,10,10,55,20,0,0,321.296,202.24,800,0.31471002,517,977,1.89,26.7,2.88,207
1,AAB,AAB01,0,50,10,15,15,10,0,0,252.021,-104.78,480,0.348956693,539,1038,1.93,34.6,2.68,230
1,AAB,AAB02,0,5,0,75,20,0,0,0,52.6929,-519.41,810,0.365948751,610,798,1.31,3.6,2.53,185
1,AAB,AAB03,0,25,10,35,25,5,0,0,170.313,9.49,665,0.365737675,363,576,1.59,17.2,2.13,175
1,AAB,AAB04,0,25,10,25,35,5,0,0,173.339,-0.79,685,0.342304254,413,676,1.64,20.1,2.29,193
1,AAB,AAB05,0,25,5,10,50,10,0,0,233.577,-4.9,710,0.331014941,332,634,1.91,28.7,2.35,214
1,AAB,AAB06,0,30,20,5,40,5,0,0,191.128,-16.78,645,0.319988542,508,857,1.69,24.4,2.6,241
1,AAB,AAB07,0,40,15,5,30,10,0,0,257.043,-55.61,560,0.320751291,448,863,1.93,28.2,2.78,221
1,AAB,AAB08,0,5,10,30,50,5,0,0,162.317,48.75,835,0.345839388,324,604,1.86,23.4,2.11,172
1,AAB,AAB09,0,30,0,30,35,5,0,0,158.431,102.88,675,0.364426512,347,610,1.76,20,1.98,159
1,AAB,AAB10,5,20,5,25,45,0,0,0,400.99,63.06,735,0.342171153,313,615,1.96,24.6,2.11,167
1,AAB,AAB11,0,5,20,10,55,10,0,0,242.784,79.94,810,0.328722707,427,886,2.07,31.5,2.62,220
1,AAB,AAB12,0,15,5,20,40,20,0,0,312.965,74.64,720,0.320170106,430,986,2.29,37,2.71,189
1,AAB,AAB13,5,5,10,35,45,0,0,0,389.316,108.08,815,0.322019026,250,549,2.2,27.5,1.87,179
1,AAB,AAB14,5,10,0,30,50,5,0,0,421.844,88.48,800,0.325161012,282,691,2.45,41.8,2.25,191
1,AAB,AAB15,5,5,10,20,55,5,0,0,437.031,61.23,820,0.340903152,367,759,2.07,33.8,2.57,221
1,AAB,AAB16,15,5,0,15,65,0,0,0,722.483,212.08,825,0.324525718,299,333,1.11,1.4,2.97,160
1,AAC,AAC01,0,15,25,5,50,5,0,0,192.693,29.1,745,0.324787234,503,854,1.7,22.5,2.82,201
1,AAC,AAC02,0,10,5,35,35,15,0,0,257.165,-0.3,755,0.359603797,391,832,2.13,29.7,2.52,191
1,AAC,AAC03,0,40,20,5,30,5,0,0,195.157,-61.1,565,0.315301623,461,863,1.87,26.2,3.05,216
1,AAC,AAC04,0,45,15,10,15,15,0,0,309.022,-36.6,485,0.320596415,569,1044,1.83,29.1,3.17,225
1,AAC,AAC05,0,75,0,15,0,10,0,0,241.555,-136.2,320,0.279021691,382,646,1.69,27.2,2.25,199
1,AAC,AAC06,0,25,20,10,35,10,0,0,253.53,7.6,650,0.316183305,460,932,2.03,32.6,2.73,193
1,AAC,AAC07,0,45,5,15,25,10,0,0,241.699,-99,540,0.345186861,357,671,1.88,26.6,2.58,223
1,AAC,AAC08,0,30,10,15,30,15,0,0,293.482,-26.3,615,0.32509956,444,966,2.18,33.8,2.83,213
1,AAC,AAC09,5,10,5,20,55,5,0,0,435.888,67.3,800,0.348464523,366,804,2.2,38.4,2.67,222
1,AAC,AAC10,0,10,20,5,60,5,0,0,182.681,50.3,805,0.320070678,397,734,1.85,22.4,2.58,240
1,AAC,AAC11,0,10,5,5,50,30,0,0,374.906,360.9,740,0.273242812,637,1115,1.75,25,3.32,191
