Year,Iteration,Alloy Name,Aluminum,Cobalt,Chromium,Iron,Nickel,Vanadium,Manganese,Copper,Predicted Yield Strength at 298K (MPa),Computed Stacking Fault Energy,Computed Valence Electron Concentration,Computed Pugh Ratio,Yield Strength (MPa),Ultimate Tensile Strength (MPa),UTS/YS,Tension Elongation (%),Hardness (GPa),Modulus (GPa),SFE_calc
1,AAA,AAA01,0,45,10,20.0,15,10,0,0,248.205,-85.33,510.0,0.344570749,487.0,839.0,1.72,25.7,2.62,211.0,-85.33
1,AAA,AAA02,0,30,10,5.0,45,10,0,0,244.424,-19.13,660.0,0.327756465,537.0,829.0,1.54,20.8,2.85,222.0,-19.13
1,AAA,AAA03,0,30,5,30.0,20,15,0,0,275.692,-58.22,605.0,0.357284707,427.0,721.0,1.69,22.1,2.4,196.0,-58.22
1,AAA,AAA04,0,25,10,20.0,40,5,0,0,173.209,1.64,695.0,0.339490838,383.0,621.0,1.62,19.5,2.31,191.0,1.64
1,AAA,AAA05,0,10,10,55.0,25,0,0,0,77.581,11.39,770.0,0.388001456,310.0,446.0,1.44,18.3,1.82,166.0,11.39
1,AAA,AAA06,0,35,25,5.0,30,5,0,0,202.043,-46.09,585.0,0.312140312,650.0,974.0,1.5,20.5,2.9,215.0,-46.09
1,AAA,AAA07,0,55,10,10.0,15,10,0,0,254.52,-124.99,450.0,0.341992464,606.0,952.0,1.57,24.9,2.88,211.0,-124.99
1,AAA,AAA08,0,10,10,25.0,50,5,0,0,166.382,39.67,805.0,0.339356232,447.0,660.0,1.48,14.2,2.15,191.0,39.67
1,AAA,AAA09,5,0,5,25.0,60,5,0,0,425.708,81.81,870.0,0.325248683,331.0,782.0,2.36,40.1,2.31,182.0,81.81
1,AAA,AAA10,0,5,15,5.0,70,5,0,0,171.065,79.61,865.0,0.323772584,376.0,764.0,2.03,28.1,2.24,205.0,79.61
1,AAA,AAA11,0,15,5,45.0,30,5,0,0,155.027,103.02,745.0,0.359169082,364.0,547.0,1.5,11.9,1.91,167.0,103.02
