Year,Al,Co,Cr,Cu,Fe,Mn,Ni,V,VarvYS pred(MPa) at 298K,SFE_calc,VEC Avg,EDS Measured Atomic % Al,EDS Measured Atomic % Co,EDS Measured Atomic % Cr,EDS Measured Atomic % Cu,EDS Measured Atomic % Fe,EDS Measured Atomic % Mn,EDS Measured Atomic % Ni,EDS Measured Atomic % V,"Hardness, HV",Yield Strength (MPa),UTS_True (Mpa),UTS/YS,Elong_T (%),Hardness (GPa) SRJT,Modulus (GPa) SRJT,Avg Hdyn (GPa) HSR,Avg Hqs (GPa) HSR,Avg HDYN/HQS,Depth of Penetration (mm) FE_Sim,Cracked,Grain Size(um)
1,0,45,10,0,20,0,15,10,248.2045893,-85.33,510.0,0.0,44.4,10.4,0.0,20.3,0.0,14.5,10.3,,487.0,839.0,1.72,25.7,2.62,211.0,,,,,0.0,
1,0,30,10,0,5,0,45,10,244.4242487,-19.13,660.0,0.0,30.2,10.4,0.0,5.2,0.0,43.9,10.4,,537.0,829.0,1.54,20.8,2.85,222.0,,,,,0.0,
1,0,30,5,0,30,0,20,15,275.6920066,-58.22,605.0,0.0,29.8,5.3,0.0,30.1,0.0,19.5,15.3,,427.0,721.0,1.69,22.1,2.4,196.0,,,,,0.0,
1,0,25,10,0,20,0,40,5,173.2094365,1.64,695.0,0.0,25.2,10.4,0.0,20.2,0.0,39.0,5.2,,383.0,621.0,1.62,19.5,2.31,191.0,,,,,0.0,
1,0,10,10,0,55,0,25,0,77.58102447,11.39,770.0,0.0,10.1,10.6,0.0,54.8,0.0,24.5,0.0,,310.0,446.0,1.44,18.3,1.82,166.0,,,,,0.0,
1,0,35,25,0,5,0,30,5,202.0427935,-46.09,585.0,0.0,34.9,25.6,0.0,5.0,0.0,29.3,5.2,,650.0,974.0,1.5,20.5,2.9,215.0,,,,,0.0,
1,0,55,10,0,10,0,15,10,254.5196106,-124.99,450.0,0.0,54.7,10.3,0.0,10.1,0.0,14.6,10.3,,606.0,952.0,1.57,24.9,2.88,211.0,,,,,0.0,
1,0,10,10,0,25,0,50,5,166.3823782,39.67,805.0,0.0,10.2,10.5,0.0,25.5,0.0,48.4,5.3,,447.0,660.0,1.48,14.2,2.15,191.0,,,,,0.0,
1,5,0,5,0,25,0,60,5,425.7082281,81.81,870.0,5.5,0.0,5.2,0.0,25.5,0.0,58.6,5.3,,331.0,782.0,2.36,40.1,2.31,182.0,,,,,0.0,
1,0,5,15,0,5,0,70,5,171.0651695,79.61,865.0,0.0,5.2,15.5,0.0,5.2,0.0,69.0,5.1,,376.0,764.0,2.03,28.1,2.24,205.0,,,,,0.0,
