IDENTIFIER: Reference ID,PROPERTY: grain size ($\mu$m),PROPERTY: Exp. Density (g/cm$^3$),PROPERTY: Calculated Density (g/cm$^3$),PROPERTY: HV,PROPERTY: Test temperature ($^\circ$C),PROPERTY: YS (MPa),PROPERTY: UTS (MPa),PROPERTY: Elongation (%),PROPERTY: Elongation plastic (%),PROPERTY: Exp. Young modulus (GPa),PROPERTY: Calculated Young modulus (GPa),PROPERTY: O content (wppm),PROPERTY: N content (wppm),PROPERTY: C content (wppm),REFERENCE: year
27,,,7.9,138.0,25.0,158.0,,,,,192.0,,,,2014
27,,,7.4,212.0,25.0,346.0,,,,,182.0,,,,2014
27,,,7.0,385.0,25.0,794.0,,,,,172.0,,,,2014
27,,,6.6,456.0,25.0,964.0,,,,,162.0,,,,2014
27,,,8.5,125.0,25.0,204.0,,,,,207.0,,,,2014
27,,,8.5,125.0,25.0,209.0,,,,,207.0,,,,2014
27,,,7.7,149.0,25.0,196.0,,,,,186.0,,,,2014
27,,,7.1,287.0,25.0,476.0,,,,,199.33333333333334,,,,2014
27,,,6.6,570.0,25.0,1301.0,,,,,212.66666666666666,,,,2014
37,24.0,,8.2,537.1428571428571,25.0,274.0,708.0,39.0,,,226.0,,,,2014
37,36.0,,8.1,504.2857142857143,25.0,282.0,694.0,44.0,,,222.0,,,,2014
37,41.0,,8.3,471.42857142857144,25.0,300.0,860.0,60.0,,,231.0,,,,2014
37,48.0,,8.2,438.57142857142856,25.0,170.0,550.0,41.0,,,204.0,,,,2014
37,28.0,,8.5,405.7142857142857,25.0,211.0,513.0,31.0,,,207.0,,,,2014
37,32.0,,8.4,372.8571428571429,25.0,231.0,653.0,38.0,,,202.0,,,,2014
37,30.0,,8.1,340.0,25.0,221.0,602.0,36.0,,,203.0,,,,2014
46,175.0,,8.2,307.14285714285717,25.0,318.0,622.0,19.0,,,206.83333333333334,,,,2015
46,175.0,,8.2,274.28571428571433,25.0,322.0,744.0,23.0,,,210.66666666666666,,,,2015
46,175.0,,8.2,241.42857142857144,25.0,403.0,807.0,9.0,,,214.5,,,,2015
46,175.0,,8.2,208.5714285714286,25.0,479.0,879.0,4.0,,,218.33333333333334,,,,2015
46,175.0,,8.2,175.71428571428575,25.0,638.0,1004.0,1.0,,,222.16666666666666,,,,2015
46,175.0,,8.2,142.8571428571429,25.0,148.0,413.0,48.0,,,226.0,,,,2015
54,168.9706896551724,,7.7,110.0,25.0,201.85714285714286,458.65384615384613,46.857142857142854,,,213.0,,,,2009
54,162.94137931034481,,7.7,113.0,25.0,255.71428571428572,504.3076923076923,45.714285714285715,,,213.0,,,,2009
54,156.91206896551725,,7.5,131.0,25.0,309.57142857142856,549.9615384615385,44.57142857142857,,,207.0,,,,2009
54,150.88275862068966,,7.5,196.0,25.0,363.42857142857144,595.6153846153846,43.42857142857143,,,207.0,,,,2009
54,144.85344827586206,,7.3,159.0,25.0,417.2857142857143,641.2692307692307,42.285714285714285,,,203.2,,,,2009
54,138.8241379310345,,7.3,209.0,25.0,471.1428571428571,686.9230769230769,41.142857142857146,,,199.4,,,,2009
54,132.7948275862069,,7.0,388.0,25.0,525.0,732.5769230769231,40.0,,,195.6,,,,2009
54,126.76551724137931,,7.0,280.0,25.0,578.8571428571429,778.2307692307693,38.85714285714286,,,191.8,,,,2009
54,120.73620689655172,,6.9,538.0,25.0,632.7142857142857,823.8846153846154,37.714285714285715,,,188.0,,,,2009
54,114.70689655172414,,6.9,361.0,25.0,686.5714285714286,869.5384615384615,36.57142857142857,,,182.5,,,,2009
54,108.67758620689656,,6.5,487.0,25.0,740.4285714285714,915.1923076923077,35.42857142857143,,,177.0,,,,2009
54,102.64827586206897,,6.5,499.0,25.0,794.2857142857142,960.8461538461538,34.285714285714285,,,177.0,,,,2009
54,96.61896551724138,,6.2,484.0,25.0,848.1428571428571,1006.5,33.142857142857146,,,171.0,,,,2009
54,90.5896551724138,,6.2,517.0,25.0,902.0,1052.1538461538462,32.0,,,171.0,,,,2009
54,84.56034482758622,,5.9,509.0,25.0,955.8571428571428,1097.8076923076924,30.857142857142858,,,160.0,,,,2009
54,78.53103448275863,,5.9,512.0,25.0,1009.7142857142857,1143.4615384615386,29.714285714285715,,,160.0,,,,2009
54,72.50172413793103,,6.7,484.0,25.0,1063.5714285714284,1189.1153846153845,28.571428571428573,,,184.0,,,,2009
54,66.47241379310346,,6.7,433.0,25.0,1117.4285714285713,1234.7692307692307,27.42857142857143,,,205.0,,,,2009
54,60.44310344827587,,8.2,116.0,25.0,1171.2857142857142,1280.423076923077,26.28571428571429,,,226.0,,,,2009
54,54.413793103448285,,8.2,113.0,25.0,1225.142857142857,1326.076923076923,25.142857142857146,,,226.0,,,,2009
63,48.3844827586207,,7.7,425.0,25.0,1279.0,1371.7307692307693,24.0,,,222.9,,,,2013
63,42.35517241379311,,6.6,655.0,25.0,1332.857142857143,1417.3846153846155,22.857142857142858,,,219.8,,,,2013
63,36.32586206896553,,6.3,605.0,25.0,1386.7142857142856,1463.0384615384614,21.714285714285715,,,216.7,,,,2013
63,30.29655172413794,,7.1,715.0,25.0,1440.5714285714284,1508.6923076923076,20.571428571428573,,,213.6,,,,2013
63,24.267241379310356,,8.5,210.0,25.0,1494.4285714285713,1554.3461538461538,19.42857142857143,,,210.5,,,,2013
66,18.23793103448277,,6.6,354.33333333333337,25.0,1548.2857142857142,1600.0,18.28571428571429,10.0,107.0,207.4,,,,2009
66,12.208620689655184,,5.9,498.6666666666667,25.0,1602.142857142857,2110.0,17.142857142857146,10.0,133.0,204.3,,,,2009
66,6.1793103448275986,,5.6,643.0,25.0,1656.0,1030.0,16.0,5.0,94.0,201.2,,,,2009
66,0.15,,6.2,667.6666666666666,25.0,1709.8571428571427,2280.0,14.85714285714286,6.0,148.0,198.1,,,,2009
66,5.14625,,7.2,692.3333333333334,25.0,1763.7142857142856,2020.0,13.714285714285715,9.0,135.0,195.0,,,,2009
1,10.1425,,7.2,717.0,25.0,1817.5714285714284,2143.0,12.571428571428573,10.5,139.58823529411765,198.0,,,,2011
1,15.13875,,7.6,487.0,25.0,1871.4285714285713,2266.0,11.42857142857143,12.0,144.1764705882353,201.0,,,,2011
1,20.134999999999998,,7.4,654.0,25.0,1925.2857142857142,2389.0,10.285714285714288,13.5,148.76470588235293,195.0,,,,2011
1,25.131249999999998,,7.8,509.0,25.0,1979.142857142857,2512.0,9.142857142857146,15.0,153.35294117647058,189.0,,,,2011
2,30.127499999999998,,6.8,624.0,25.0,2033.0,2635.0,8.0,16.5,157.94117647058823,183.0,,,,2013
3,35.12375,,6.9,513.0,25.0,1961.909090909091,2577.6363636363635,8.048214285714286,18.0,162.52941176470588,177.0,,,,2014
4,40.12,,6.2,402.0,25.0,1890.8181818181818,2520.2727272727275,8.096428571428572,19.5,167.11764705882354,171.0,,,,2009
4,45.11625,,5.6,487.0,25.0,1819.7272727272727,2462.909090909091,8.144642857142857,21.0,171.70588235294116,152.0,,,,2009
4,50.1125,,5.9,432.0,25.0,1748.6363636363635,2405.5454545454545,8.192857142857143,22.5,176.2941176470588,160.0,,,,2009
4,55.10875,,5.3,506.0,25.0,1677.5454545454545,2348.181818181818,8.241071428571429,24.0,180.88235294117646,145.0,,,,2009
4,60.105,,6.7,395.0,25.0,1606.4545454545455,2290.818181818182,8.289285714285715,25.5,185.47058823529412,184.0,,,,2009
4,65.10125,,6.8,342.0,25.0,1535.3636363636363,2233.4545454545455,8.3375,27.0,190.05882352941177,195.0,,,,2009
4,70.0975,,8.3,286.0,25.0,1464.2727272727273,2176.090909090909,8.385714285714286,28.5,194.64705882352942,206.0,,,,2009
4,75.09375,,8.1,296.0,25.0,1393.1818181818182,2118.7272727272725,8.433928571428572,30.0,199.23529411764704,221.0,,,,2009
4,80.09,,8.7,263.0,25.0,1322.090909090909,2061.3636363636365,8.482142857142858,31.5,203.8235294117647,236.0,,,,2009
5,85.08624999999999,,6.7,282.125,25.0,1251.0,2004.0,8.530357142857143,33.0,208.41176470588235,184.0,,,,2008
6,90.0825,,6.7,301.25,25.0,957.0,2550.0,8.57857142857143,11.0,213.0,184.0,,,,2011
6,95.07875,,6.6,320.375,25.0,906.0,2386.0,8.626785714285715,9.0,151.0,184.0,,,,2011
6,100.075,,6.5,339.5,25.0,867.0,2178.0,8.675,8.0,137.0,184.0,,,,2011
6,105.07124999999999,,6.5,358.625,25.0,1056.0,2375.0,8.723214285714285,7.0,156.0,184.0,,,,2011
6,110.0675,,6.4,377.75,25.0,1060.0,2250.0,8.77142857142857,6.0,181.0,184.0,,,,2011
6,115.06375,,5.9,396.875,25.0,1255.0,2083.0,8.819642857142856,6.0,73.0,184.0,,,,2011
6,120.06,,6.2,416.0,25.0,1251.0,2166.0,8.867857142857142,7.0,75.0,184.0,,,,2011
6,125.05624999999999,,6.7,435.125,25.0,1138.0,2223.0,8.916071428571428,11.0,75.82352941176471,184.0,,,,2011
7,130.0525,,6.8,454.25,25.0,1804.0,2280.0,8.964285714285714,9.0,76.6470588235294,188.0,,,,2010
7,135.04874999999998,,6.9,473.375,25.0,2456.0,2953.0,9.0125,3.0,77.47058823529412,187.2,,,,2010
7,140.045,,7.0,492.5,25.0,2649.0,3208.0,9.060714285714285,3.0,78.29411764705883,186.4,,,,2010
7,145.04125,,7.0,511.625,25.0,2670.0,3161.0,9.10892857142857,3.0,79.11764705882354,185.6,,,,2010
7,150.0375,,7.1,530.75,25.0,2757.0,3036.0,9.157142857142857,3.0,79.94117647058823,184.8,,,,2010
7,155.03375,,6.7,549.875,25.0,1051.0,3160.5,9.205357142857142,10.0,80.76470588235294,184.0,,,,2010
8,160.03,,6.8,569.0,25.0,1641.0,3285.0,9.253571428571428,17.0,81.58823529411765,182.0,,,,2012
8,165.02625,,6.8,668.0,25.0,1959.0,3008.0,9.301785714285714,11.0,82.41176470588235,182.5,,,,2012
8,170.0225,,7.0,747.0,25.0,2473.0,3170.0,9.35,4.0,83.23529411764706,183.0,,,,2012
8,175.01874999999998,,7.0,633.5,25.0,1923.0,3350.5,9.398214285714285,14.5,84.05882352941177,183.5,,,,2012
8,180.015,,6.7,520.0,25.0,1373.0,3531.0,9.446428571428571,25.0,84.88235294117646,184.0,,,,2012
9,185.01125,,7.3,270.0,25.0,1355.4666666666667,3494.6875,9.494642857142857,23.5,85.70588235294117,184.0,,,,2010
9,190.0075,,7.0,801.0,25.0,1337.9333333333334,3458.375,9.542857142857143,22.0,86.52941176470588,184.0,,,,2010
9,195.00375,,7.2,741.0,25.0,1320.4,3422.0625,9.591071428571428,20.5,87.3529411764706,184.0,,,,2010
9,200.0,,7.3,586.0,25.0,1302.8666666666666,3385.75,9.639285714285714,19.0,88.17647058823529,184.0,,,,2010
9,202.08333333333334,,7.1,796.0,25.0,1285.3333333333333,3349.4375,9.6875,17.5,89.0,184.0,,,,2010
10,204.16666666666666,,7.1,755.0,25.0,1267.8,3313.125,9.735714285714286,16.0,89.82352941176471,184.0,,,,2010
10,206.25,,7.1,754.0,25.0,1250.2666666666667,3276.8125,9.783928571428572,14.5,90.6470588235294,184.0,,,,2010
10,208.33333333333334,,7.2,635.0,25.0,1232.7333333333333,3240.5,9.832142857142857,13.0,91.47058823529412,184.0,,,,2010
10,210.41666666666666,,7.2,639.0,25.0,1215.2,3204.1875,9.880357142857143,11.5,92.29411764705883,184.0,,,,2010
11,212.5,,6.8,857.0,25.0,1197.6666666666667,3167.875,9.928571428571429,10.0,93.11764705882352,184.0,,,,2013
11,214.58333333333334,,7.1,730.0,25.0,1180.1333333333332,3131.5625,9.976785714285715,8.5,93.94117647058823,184.0,,,,2013
11,216.66666666666666,,7.0,708.0,25.0,1162.6,3095.25,10.025,7.0,94.76470588235294,184.0,,,,2013
11,218.75,,7.2,586.0,25.0,1145.0666666666666,3058.9375,10.073214285714284,5.5,95.58823529411765,184.0,,,,2013
11,220.83333333333334,,7.3,395.0,25.0,1127.5333333333333,3022.625,10.12142857142857,4.0,96.41176470588235,184.0,,,,2013
12,222.91666666666666,,6.7,378.3076923076923,25.0,1110.0,2986.3125,10.169642857142856,2.5,97.23529411764706,184.0,,,,2010
12,225.0,,5.7,361.61538461538464,25.0,2411.0,2950.0,10.217857142857142,1.0,98.05882352941177,180.0,,,,2010
12,227.08333333333334,,6.5,344.9230769230769,25.0,1265.0,2173.0,10.266071428571427,14.0,98.88235294117646,176.0,,,,2010
12,229.16666666666666,,6.2,328.2307692307692,25.0,1481.0,2444.0,10.314285714285713,13.0,99.70588235294117,169.0,,,,2010
12,231.25,,6.0,311.53846153846155,25.0,1834.0,2195.0,10.362499999999999,3.0,100.52941176470588,162.0,,,,2010
12,233.33333333333334,,5.8,294.8461538461538,25.0,2179.0,2664.0,10.410714285714285,2.0,101.35294117647058,177.0,,,,2010
13,235.41666666666666,,7.4,278.15384615384613,25.0,1464.5,2317.0,10.45892857142857,20.5,102.17647058823529,192.0,,,,2009
13,237.5,,7.5,261.46153846153845,25.0,750.0,1970.0,10.507142857142856,39.0,103.0,189.0,,,,2009
13,239.58333333333334,,7.1,244.76923076923077,25.0,1580.0,2389.0,10.555357142857142,17.0,161.0,190.66666666666666,,,,2009
13,241.66666666666666,,6.8,228.07692307692307,25.0,1900.0,2697.0,10.603571428571428,12.0,164.0,192.33333333333334,,,,2009
13,243.75,,7.8,211.38461538461536,25.0,700.0,1650.0,10.651785714285714,29.0,93.0,194.0,,,,2009
14,245.83333333333334,,6.2,194.69230769230768,25.0,1860.0,2580.0,10.7,9.0,90.0,181.0,,,,2007
14,247.91666666666666,,6.4,178.0,25.0,2260.0,3140.0,24.4,23.0,178.0,168.0,,,,2007
14,250.0,,6.1,479.0,25.0,2220.0,2720.0,6.6,5.0,160.0,155.0,,,,2007
15,252.08333333333334,,6.3,780.0,25.0,2038.1818181818182,2673.5,11.09090909090909,7.8,158.68085106382978,142.0,,,,2004
15,254.16666666666666,,6.2,790.0,25.0,1856.3636363636365,2627.0,15.581818181818182,10.6,157.36170212765958,129.0,,,,2004
15,256.25,,5.9,800.0,25.0,1674.5454545454545,2580.5,20.072727272727274,13.399999999999999,156.04255319148936,119.0,,,,2004
15,258.3333333333333,,7.1,680.0,25.0,1492.7272727272727,2534.0,24.563636363636363,16.2,154.72340425531914,132.85714285714286,,,,2004
15,260.4166666666667,,7.3,850.0,25.0,1310.909090909091,2487.5,29.054545454545455,19.0,153.40425531914894,146.71428571428572,,,,2004
15,262.5,,7.1,630.0,25.0,1129.090909090909,2441.0,33.54545454545455,21.799999999999997,152.08510638297872,160.57142857142858,,,,2004
15,264.5833333333333,,7.3,790.0,25.0,947.2727272727273,2394.5,38.03636363636364,24.599999999999998,150.7659574468085,174.42857142857144,,,,2004
15,266.6666666666667,,6.8,590.0,25.0,765.4545454545455,2348.0,42.52727272727273,27.4,149.4468085106383,188.28571428571428,,,,2004
15,268.75,,7.1,740.0,25.0,583.6363636363637,2301.5,47.01818181818182,30.2,148.12765957446808,202.14285714285714,,,,2004
16,270.8333333333333,,7.9,180.0,25.0,401.81818181818187,2255.0,51.509090909090915,33.0,146.80851063829786,216.0,,,,2014
16,272.9166666666667,,7.7,171.0,25.0,220.0,2208.5,56.0,35.8,145.48936170212767,212.0,,,,2014
16,275.0,,7.5,182.0,25.0,244.0,2162.0,45.0,38.599999999999994,144.17021276595744,205.0,,,,2014
16,277.0833333333333,,7.4,183.0,25.0,285.0,2115.5,35.0,41.4,142.85106382978722,202.5,,,,2014
16,279.1666666666667,,7.4,220.0,25.0,331.0,2069.0,29.0,44.199999999999996,141.53191489361703,200.0,,,,2014
16,281.25,,7.3,278.0,25.0,526.0,2022.5,16.0,47.0,140.2127659574468,197.5,,,,2014
16,283.3333333333333,,7.2,405.0,25.0,833.0,1976.0,5.0,49.8,138.8936170212766,195.0,,,,2014
16,285.4166666666667,,7.2,486.0,25.0,743.7142857142857,1929.5,13.142857142857142,52.599999999999994,137.5744680851064,192.5,,,,2014
16,287.5,,7.1,530.0,25.0,654.4285714285714,1883.0,21.285714285714285,55.4,136.25531914893617,190.0,,,,2014
16,289.5833333333333,,7.0,539.0,25.0,565.1428571428571,1836.5,29.428571428571427,58.199999999999996,134.93617021276597,187.5,,,,2014
16,291.6666666666667,,7.0,533.0,25.0,475.85714285714283,1790.0,37.57142857142857,61.0,133.61702127659575,185.0,,,,2014
16,293.75,,6.9,535.0,25.0,386.57142857142856,1743.5,45.71428571428571,63.8,132.29787234042553,182.5,,,,2014
16,295.8333333333333,,6.6,539.0,25.0,297.2857142857142,1697.0,53.857142857142854,66.6,130.97872340425533,180.0,,,,2014
16,297.9166666666667,,8.0,176.0,25.0,208.0,1650.5,62.0,69.39999999999999,129.6595744680851,220.0,,,,2014
17,300.0,,8.0,144.0,25.0,219.0,1604.0,60.125,72.19999999999999,128.3404255319149,220.0,,,,2015
17,350.0,,8.0,135.0,25.0,230.0,1557.5,58.25,75.0,127.02127659574468,220.0,,,,2015
17,120.0,,7.9,151.0,25.0,215.0,1511.0,56.375,75.0,125.70212765957447,215.0,,,,2015
17,130.0,,7.9,144.0,25.0,200.0,1464.5,54.5,75.0,124.38297872340426,212.5,,,,2015
17,220.0,,7.8,186.0,25.0,410.0,1418.0,52.625,75.0,123.06382978723404,210.0,,,,2015
17,250.0,,7.8,275.0,25.0,620.0,1371.5,50.75,75.0,121.74468085106383,210.0,,,,2015
17,500.0,,7.7,380.0,25.0,740.0,1325.0,48.875,7.8,120.42553191489363,208.5,,,,2015
17,500.0,,7.7,342.0,25.0,1200.0,1585.0,47.0,4.15,119.1063829787234,207.0,,,,2015
17,12.0,,7.7,636.0,25.0,1660.0,1845.0,45.125,0.5,117.7872340425532,205.5,,,,2015
17,13.615384615384615,,7.7,650.0,25.0,1596.5,2115.5,43.25,7.625,116.46808510638299,204.0,,,,2015
18,15.23076923076923,,7.2,297.0,25.0,1533.0,2386.0,41.375,14.75,115.14893617021276,202.5,,,,2010
18,16.846153846153847,,7.0,396.0,25.0,1469.5,2656.5,39.5,21.875,113.82978723404256,201.0,,,,2010
19,18.46153846153846,,6.3,472.0,25.0,1406.0,2927.0,37.625,29.0,112.51063829787235,199.83333333333334,,,,2013
19,20.076923076923077,,7.2,905.0,25.0,1446.5,3074.5,35.75,29.0,111.19148936170212,198.66666666666666,,,,2013
19,21.692307692307693,,6.5,549.0,25.0,1487.0,3222.0,33.875,29.0,109.87234042553192,197.5,,,,2013
